Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker
2024-06-25,414.0,414.25,409.6199951171875,410.9700012207031,3879800,0.0,0.0,BRK-B
2024-06-26,410.0199890136719,410.67999267578125,407.25,410.260009765625,3334300,0.0,0.0,BRK-B
2024-06-27,410.260009765625,410.260009765625,406.3399963378906,407.95001220703125,3218600,0.0,0.0,BRK-B
2024-06-28,408.25,410.04998779296875,405.7900085449219,406.79998779296875,6819800,0.0,0.0,BRK-B
2024-07-01,408.0899963378906,409.6700134277344,403.82000732421875,405.19000244140625,2974100,0.0,0.0,BRK-B
2024-07-02,404.0199890136719,407.3900146484375,403.9200134277344,407.1000061035156,3220900,0.0,0.0,BRK-B
2024-07-03,407.1600036621094,407.1600036621094,404.2200012207031,405.7699890136719,1970300,0.0,0.0,BRK-B
2024-07-05,406.239990234375,411.3999938964844,405.0299987792969,411.1700134277344,5149200,0.0,0.0,BRK-B
2024-07-08,411.2699890136719,413.7900085449219,408.0,409.0799865722656,3559500,0.0,0.0,BRK-B
2024-07-09,409.4200134277344,413.7099914550781,408.6400146484375,410.5199890136719,2989700,0.0,0.0,BRK-B
2024-07-10,410.80999755859375,413.9599914550781,409.3999938964844,413.7900085449219,3791800,0.0,0.0,BRK-B
2024-07-11,413.989990234375,419.20001220703125,412.0,418.7799987792969,4065200,0.0,0.0,BRK-B
2024-07-12,420.2300109863281,427.45001220703125,419.70001220703125,424.44000244140625,4834600,0.0,0.0,BRK-B
2024-07-15,425.5899963378906,434.7099914550781,425.29998779296875,434.4200134277344,4594900,0.0,0.0,BRK-B
2024-07-16,437.3999938964844,439.04998779296875,434.0199890136719,438.8999938964844,4293700,0.0,0.0,BRK-B
2024-07-17,437.8500061035156,446.1499938964844,437.8399963378906,445.6099853515625,4776600,0.0,0.0,BRK-B
2024-07-18,445.6199951171875,449.25,439.57000732421875,441.82000732421875,4638300,0.0,0.0,BRK-B
2024-07-19,442.6700134277344,442.79998779296875,433.3500061035156,434.4700012207031,4158800,0.0,0.0,BRK-B
2024-07-22,435.04998779296875,438.1099853515625,432.1199951171875,435.9800109863281,2995700,0.0,0.0,BRK-B
2024-07-23,437.3399963378906,437.9200134277344,433.4700012207031,434.010009765625,2393000,0.0,0.0,BRK-B
2024-07-24,433.989990234375,435.4100036621094,430.7300109863281,432.79998779296875,3143700,0.0,0.0,BRK-B
2024-07-25,431.6000061035156,439.6300048828125,431.6000061035156,433.2900085449219,3334300,0.0,0.0,BRK-B
2024-07-26,435.6600036621094,439.0,434.1000061035156,437.6600036621094,2717600,0.0,0.0,BRK-B
2024-07-29,438.010009765625,439.44000244140625,435.489990234375,438.30999755859375,2620000,0.0,0.0,BRK-B
2024-07-30,439.510009765625,443.8900146484375,439.1400146484375,441.260009765625,3736400,0.0,0.0,BRK-B
2024-07-31,439.8500061035156,440.8500061035156,437.739990234375,438.5,3798800,0.0,0.0,BRK-B
